Date,Department,Revenue,Expense,Operating_Cost,Marketing_Expense,R_D_Investment,Payroll,Tax_Amount,Net_Profit,Cash_Flow,Assets_Value,Liabilities
2024-02-23,CORP,190890,124890,54890,14560,8900,32450,9890,56110,51230,1685700,526700
2024-02-24,CORP,156780,114560,50890,10120,8900,31340,7560,34660,30340,1695400,527100
2024-02-25,CORP,152340,113230,50230,10120,8900,31120,7230,31880,27890,1704200,527600
2024-02-26,CORP,191670,125340,55230,23450,8900,32230,9670,56660,51560,1717800,526300
2024-02-27,CORP,197890,127120,56010,23450,8900,32560,10120,60650,55450,1732400,524800
2024-02-28,CORP,182340,122670,54340,18230,8900,32010,9230,50440,45560,1745600,523700
2024-02-29,COMP,169890,119230,52780,14560,8900,31670,8670,41990,37340,1757400,522800
2024-03-01,CORP,175560,121340,53670,14560,8900,32010,9010,45210,40560,1770100,521700
2024-03-02,CORP,163450,117890,52120,10120,8900,31560,7890,37670,33340,1780800,521300
2024-03-03,CORP,158670,116230,51450,10120,8900,31340,7560,34880,30670,1790500,521000
